,DXEX v3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,C:\Documents and Settings\Prof. Werneck\Desktop\Testes_HTP\Testes\Testes_Topo\15mm\15mm_campo_topo_t03.lda,,,,,,,,,,,,,,,,,,
1,18:05:01,,,,,,,,,,,,,,,,,,
2,15.00 mm;-0.85 mm;0.00 mm,,,,,,,,,,,,,,,,,,
3,15_90_sub1,,,,,,,,,,,,,,,,,,
4,"""X [mm]""	""Y [mm]""	""Z [mm]""	""Date_Time""	""Count{1}""	""Data Rate{1} [#/s]""	""Validation{1} [%]""	""LDA1-Mean [m/s]""","""LDA2-Mean","[m/s]""","""LDA1-RMS","[m/s]""","""LDA2-RMS","[m/s]""","""LDA1-MeanConf","[m/s]""","""LDA2-MeanConf","[m/s]""","""LDA1-RMSConf","[m/s]""","""LDA2-RMSConf","[m/s]""","""LDA1-AnodeCur","[uA]""","""LDA2-AnodeCur","[uA]"""
59,15.00	-1.35	-4.00	18:16:03	215	43.41	96.06	-0.1930	-0.0551	0.1716	0.1497	0.0230	0.0201	0.0163	0.0142	12	16,,,,,,,,,,,,,,,,,,
60,15.00	-0.85	-4.00	18:16:15	192	38.68	97.35	-0.2524	-0.0237	0.1983	0.1436	0.0281	0.0204	0.0199	0.0144	12	16,,,,,,,,,,,,,,,,,,
61,15.00	-0.35	-4.00	18:16:28	166	33.37	95.35	-0.2789	-0.0007	0.2006	0.1548	0.0306	0.0236	0.0216	0.0167	12	19,,,,,,,,,,,,,,,,,,
62,15.00	0.15	-4.00	18:16:40	219	44.65	94.85	-0.2670	0.0455	0.1635	0.1532	0.0217	0.0203	0.0153	0.0144	12	19,,,,,,,,,,,,,,,,,,
63,15.00	0.65	-4.00	18:16:52	190	38.24	92.81	-0.2076	0.1095	0.1833	0.1423	0.0261	0.0203	0.0185	0.0143	12	16,,,,,,,,,,,,,,,,,,
64,15.00	1.15	-4.00	18:17:04	175	35.30	96.18	-0.1574	0.1328	0.2168	0.1634	0.0322	0.0243	0.0228	0.0172	12	19,,,,,,,,,,,,,,,,,,
65,15.00	1.65	-4.00	18:17:17	210	42.23	93.68	-0.0832	0.1428	0.1795	0.1763	0.0243	0.0239	0.0172	0.0169	16	16,,,,,,,,,,,,,,,,,,
66,15.00	2.15	-4.00	18:17:30	190	38.51	91.13	0.0180	0.1272	0.1826	0.1905	0.0260	0.0272	0.0184	0.0192	19	19,,,,,,,,,,,,,,,,,,
67,15.00	2.65	-4.00	18:17:42	259	52.79	91.14	0.1140	0.0931	0.1938	0.2026	0.0237	0.0247	0.0167	0.0175	35	41,,,,,,,,,,,,,,,,,,
68,15.00	3.15	-4.50	18:17:55	211	42.74	92.68	0.1307	0.1330	0.1774	0.1823	0.0240	0.0247	0.0170	0.0174	48	25,,,,,,,,,,,,,,,,,,
69,15.00	2.65	-4.50	18:18:07	187	37.60	96.29	0.1245	0.1279	0.1760	0.1850	0.0253	0.0266	0.0179	0.0188	12	22,,,,,,,,,,,,,,,,,,
70,15.00	2.15	-4.50	18:18:19	190	38.39	96.95	0.0191	0.1083	0.2008	0.1698	0.0286	0.0242	0.0202	0.0171	16	16,,,,,,,,,,,,,,,,,,
71,15.00	1.65	-4.50	18:18:31	191	39.08	90.79	-0.0774	0.1186	0.1961	0.1767	0.0279	0.0251	0.0197	0.0178	12	16,,,,,,,,,,,,,,,,,,
72,15.00	1.15	-4.50	18:18:44	165	33.14	95.80	-0.1691	0.0741	0.1924	0.1624	0.0295	0.0249	0.0208	0.0176	19	28,,,,,,,,,,,,,,,,,,
73,15.00	0.65	-4.50	18:18:57	189	38.61	95.58	-0.2469	0.0939	0.1939	0.1602	0.0277	0.0229	0.0196	0.0162	16	19,,,,,,,,,,,,,,,,,,
74,15.00	0.15	-4.50	18:19:09	169	34.44	94.54	-0.2634	0.0575	0.1898	0.1481	0.0287	0.0224	0.0203	0.0158	16	19,,,,,,,,,,,,,,,,,,
75,15.00	-0.35	-4.50	18:19:21	135	27.21	92.24	-0.2310	-0.0221	0.1847	0.1612	0.0313	0.0273	0.0221	0.0193	12	19,,,,,,,,,,,,,,,,,,
76,15.00	-0.85	-4.50	18:19:33	178	36.29	95.05	-0.2300	-0.0271	0.1792	0.1420	0.0264	0.0209	0.0187	0.0148	19	19,,,,,,,,,,,,,,,,,,
77,15.00	-1.35	-4.50	18:19:45	204	41.72	95.52	-0.1778	-0.0790	0.1958	0.1538	0.0269	0.0212	0.0190	0.0150	12	16,,,,,,,,,,,,,,,,,,
78,15.00	-1.85	-4.50	18:19:58	195	39.66	94.74	-0.0714	-0.0765	0.1888	0.1515	0.0266	0.0213	0.0188	0.0151	19	22,,,,,,,,,,,,,,,,,,
79,15.00	-2.35	-4.50	18:20:10	220	44.68	94.44	-0.0041	-0.0892	0.1989	0.1778	0.0263	0.0235	0.0186	0.0166	12	19,,,,,,,,,,,,,,,,,,
80,15.00	-2.85	-4.50	18:20:22	218	44.22	93.30	0.0807	-0.0933	0.1740	0.1746	0.0231	0.0232	0.0164	0.0164	19	25,,,,,,,,,,,,,,,,,,
81,15.00	-3.35	-4.50	18:20:34	194	39.21	93.21	0.1077	-0.1212	0.1679	0.1911	0.0237	0.0270	0.0168	0.0191	16	22,,,,,,,,,,,,,,,,,,
82,15.00	-3.85	-5.00	18:20:46	244	49.34	93.58	0.0901	-0.1291	0.1978	0.1953	0.0249	0.0246	0.0176	0.0174	16	16,,,,,,,,,,,,,,,,,,
83,15.00	-3.35	-5.00	18:20:59	209	42.40	94.72	0.0734	-0.1171	0.1891	0.1776	0.0257	0.0241	0.0182	0.0171	16	25,,,,,,,,,,,,,,,,,,
84,15.00	-2.85	-5.00	18:21:11	192	38.95	93.44	0.0485	-0.0990	0.1990	0.1858	0.0282	0.0264	0.0200	0.0186	16	22,,,,,,,,,,,,,,,,,,
85,15.00	-2.35	-5.00	18:21:24	190	38.39	81.54	-0.0356	-0.1265	0.2044	0.1730	0.0291	0.0247	0.0206	0.0174	12	16,,,,,,,,,,,,,,,,,,
86,15.00	-1.85	-5.00	18:21:36	159	32.42	94.60	-0.0718	-0.0853	0.1840	0.1733	0.0287	0.0270	0.0203	0.0191	16	19,,,,,,,,,,,,,,,,,,
87,15.00	-1.35	-5.00	18:21:49	184	37.97	94.75	-0.1724	-0.0498	0.1653	0.1570	0.0239	0.0227	0.0169	0.0161	12	16,,,,,,,,,,,,,,,,,,
88,15.00	-0.85	-5.00	18:22:02	198	40.24	84.79	-0.2340	-0.0275	0.2048	0.1524	0.0286	0.0213	0.0202	0.0150	19	16,,,,,,,,,,,,,,,,,,
89,15.00	-0.35	-5.00	18:22:14	135	27.45	96.21	-0.2471	0.0047	0.1925	0.1494	0.0326	0.0253	0.0230	0.0179	12	19,,,,,,,,,,,,,,,,,,
90,15.00	0.15	-5.00	18:22:26	206	41.29	96.66	-0.2144	0.0246	0.1744	0.1409	0.0239	0.0193	0.0169	0.0136	16	16,,,,,,,,,,,,,,,,,,
91,15.00	0.65	-5.00	18:22:38	178	35.88	90.56	-0.1964	0.0552	0.1987	0.1424	0.0293	0.0210	0.0207	0.0148	12	16,,,,,,,,,,,,,,,,,,
92,15.00	1.15	-5.00	18:22:50	150	30.26	93.40	-0.1341	0.1120	0.1820	0.1616	0.0292	0.0259	0.0207	0.0183	12	16,,,,,,,,,,,,,,,,,,
93,15.00	1.65	-5.00	18:23:02	183	37.33	92.44	-0.0671	0.0986	0.1903	0.1907	0.0277	0.0277	0.0196	0.0196	16	25,,,,,,,,,,,,,,,,,,
94,15.00	2.15	-5.00	18:23:15	182	36.51	94.48	0.0287	0.1308	0.2132	0.1575	0.0311	0.0230	0.0220	0.0162	16	19,,,,,,,,,,,,,,,,,,
95,15.00	2.65	-5.00	18:23:27	181	36.35	88.39	0.0780	0.1377	0.1899	0.1853	0.0277	0.0271	0.0196	0.0191	16	22,,,,,,,,,,,,,,,,,,
96,15.00	3.15	-5.00	18:23:39	186	37.72	96.99	0.0888	0.1371	0.1864	0.1700	0.0269	0.0245	0.0190	0.0173	12	16,,,,,,,,,,,,,,,,,,
97,15.00	3.65	-5.00	18:23:51	214	43.79	92.51	0.0776	0.1584	0.1909	0.1944	0.0256	0.0261	0.0181	0.0185	22	19,,,,,,,,,,,,,,,,,,
98,15.00	4.65	-5.50	18:24:05	166	33.75	91.42	0.0668	0.2205	0.1935	0.1855	0.0295	0.0283	0.0209	0.0200	19	16,,,,,,,,,,,,,,,,,,
99,15.00	4.15	-5.50	18:24:18	179	36.17	93.50	0.1135	0.2149	0.1697	0.1664	0.0249	0.0244	0.0176	0.0173	19	16,,,,,,,,,,,,,,,,,,
100,15.00	3.65	-5.50	18:24:30	153	30.76	97.51	0.0913	0.1910	0.1988	0.1754	0.0316	0.0279	0.0223	0.0197	16	25,,,,,,,,,,,,,,,,,,
101,15.00	3.15	-5.50	18:24:42	199	40.06	96.65	0.0504	0.1564	0.1991	0.1822	0.0277	0.0254	0.0196	0.0179	16	16,,,,,,,,,,,,,,,,,,
102,15.00	2.65	-5.50	18:24:55	175	35.23	97.46	0.0596	0.1244	0.1972	0.1720	0.0293	0.0256	0.0207	0.0181	16	19,,,,,,,,,,,,,,,,,,
103,15.00	2.15	-5.50	18:25:08	179	35.86	93.71	0.0118	0.1455	0.2118	0.1739	0.0311	0.0256	0.0220	0.0181	12	16,,,,,,,,,,,,,,,,,,
104,15.00	1.65	-5.50	18:25:19	171	34.64	94.02	-0.0382	0.0974	0.2034	0.1803	0.0306	0.0271	0.0216	0.0192	12	28,,,,,,,,,,,,,,,,,,
105,15.00	1.15	-5.50	18:25:32	163	32.68	95.27	-0.1102	0.1160	0.2102	0.1681	0.0324	0.0259	0.0229	0.0183	12	16,,,,,,,,,,,,,,,,,,
106,15.00	0.65	-5.50	18:25:44	167	34.10	97.32	-0.1549	0.0380	0.1664	0.1602	0.0253	0.0244	0.0179	0.0172	16	19,,,,,,,,,,,,,,,,,,
107,15.00	0.15	-5.50	18:25:56	174	35.06	94.42	-0.1884	0.0512	0.2036	0.1419	0.0303	0.0211	0.0215	0.0150	16	19,,,,,,,,,,,,,,,,,,
108,15.00	-0.35	-5.50	18:26:08	150	30.33	96.51	-0.2089	0.0133	0.1629	0.1451	0.0262	0.0233	0.0185	0.0165	19	25,,,,,,,,,,,,,,,,,,
109,15.00	-0.85	-5.50	18:26:21	168	33.98	95.56	-0.2083	-0.0228	0.1632	0.1328	0.0248	0.0201	0.0175	0.0142	16	19,,,,,,,,,,,,,,,,,,
110,15.00	-1.35	-5.50	18:26:33	188	37.78	96.43	-0.1337	-0.0665	0.1803	0.1452	0.0258	0.0208	0.0183	0.0147	16	19,,,,,,,,,,,,,,,,,,
111,15.00	-1.85	-5.50	18:26:45	156	31.40	95.23	-0.1107	-0.0781	0.2068	0.1764	0.0326	0.0278	0.0230	0.0196	12	19,,,,,,,,,,,,,,,,,,
112,15.00	-2.35	-5.50	18:26:58	190	38.10	94.57	-0.0106	-0.1079	0.2279	0.1920	0.0325	0.0274	0.0230	0.0194	12	19,,,,,,,,,,,,,,,,,,
113,15.00	-2.85	-5.50	18:27:10	224	45.15	96.40	0.0360	-0.1137	0.2405	0.1986	0.0316	0.0261	0.0223	0.0184	12	22,,,,,,,,,,,,,,,,,,
114,15.00	-3.35	-5.50	18:27:22	228	45.71	95.41	0.0632	-0.1068	0.2255	0.2091	0.0293	0.0272	0.0207	0.0192	12	16,,,,,,,,,,,,,,,,,,
115,15.00	-3.85	-5.50	18:27:34	250	50.34	98.48	0.0835	-0.1466	0.2068	0.1662	0.0257	0.0206	0.0182	0.0146	9	16,,,,,,,,,,,,,,,,,,
116,15.00	-4.35	-5.50	18:27:47	218	44.02	89.58	0.0804	-0.1907	0.2025	0.1911	0.0269	0.0254	0.0190	0.0180	12	16,,,,,,,,,,,,,,,,,,
117,15.00	-4.85	-5.50	18:27:59	217	43.74	81.14	0.0517	-0.2019	0.2212	0.1993	0.0295	0.0266	0.0209	0.0188	22	19,,,,,,,,,,,,,,,,,,
118,15.00	-6.85	-6.00	18:28:18	216	43.89	90.40	0.0799	-0.2353	0.2179	0.2533	0.0291	0.0339	0.0206	0.0239	16	28,,,,,,,,,,,,,,,,,,
119,15.00	-6.35	-6.00	18:28:31	245	49.29	89.88	0.0456	-0.2371	0.2030	0.2541	0.0255	0.0319	0.0180	0.0225	16	32,,,,,,,,,,,,,,,,,,
120,15.00	-5.85	-6.00	18:28:43	243	49.32	81.72	0.0414	-0.2681	0.2149	0.2006	0.0271	0.0253	0.0191	0.0179	19	32,,,,,,,,,,,,,,,,,,
